"species","dd long","dd lat","sex"
"Prionace glauca",3.957754,42.926392,"M"
"Prionace glauca",3.957754,42.926392,"M"
"Prionace glauca",3.957754,42.926392,"M"
"Prionace glauca",3.909229,43.081483,"M"
"Prionace glauca",3.853438,42.881925,"M"
"Prionace glauca",3.853438,42.881925,"M"
"Prionace glauca",3.853438,42.881925,"M"
"Prionace glauca",3.853438,42.881925,"M"
"Prionace glauca",3.854183,43.162104,"M"
"Prionace glauca",3.842892,43.21385,"M"
"Prionace glauca",3.714467,43.29207,"M"
"Prionace glauca",3.742683,43.27605,"M"
"Prionace glauca",3.744533,43.27513,"M"
"Prionace glauca",3.744533,43.27513,"M"
"Prionace glauca",6.152617,42.87177,"M"
"Prionace glauca",15.77855,42.18835,"M"
"Prionace glauca",15.8601,42.3472333333333,"M"
"Prionace glauca",18.7320833333333,40.9472666666667,"M"
"Prionace glauca",18.6715,41.0886333333333,"M"
"Prionace glauca",18.6028833333333,41.4598166666667,"M"
"Prionace glauca",18.6667333333333,41.2081333333333,"M"
"Prionace glauca",18.64695,41.2356833333333,"M"
"Prionace glauca",17.5184666666667,41.4477833333333,"M"
"Prionace glauca",17.60925,41.4401,"M"
"Prionace glauca",17.9701166666667,41.3196,"M"
"Prionace glauca",16.8765,41.975,"M"
"Prionace glauca",16.7148333333333,42.0858333333333,"M"
"Prionace glauca",16.79665,42.2460833333333,"M"
"Prionace glauca",17.31275,41.3664,"M"
"Prionace glauca",15.77045,42.6274,"M"
"Prionace glauca",15.6860333333333,42.6623666666667,"M"
"Prionace glauca",17.1674833333333,41.7153166666667,"M"
"Prionace glauca",17.3221166666667,41.4800333333333,"M"
"Prionace glauca",17.3379833333333,41.4562333333333,"M"
"Prionace glauca",17.3549833333333,41.4321833333333,"M"
"Prionace glauca",17.26635,41.2811166666667,"M"
"Prionace glauca",17.3536166666667,41.1965833333333,"M"
"Prionace glauca",17.3841666666667,41.1656333333333,"M"
"Prionace glauca",17.3833666666667,41.1542666666667,"M"
"Prionace glauca",17.4607166666667,41.1370833333333,"M"
"Prionace glauca",17.4946,41.1014666666667,"M"
"Prionace glauca",17.104,41.8541666666667,"M"
"Prionace glauca",17.279,41.6236666666667,"M"
"Prionace glauca",17.4347166666667,41.4297333333333,"M"
"Prionace glauca",17.4817333333333,41.3585666666667,"M"
"Prionace glauca",17.2547,41.8826666666667,"M"
"Prionace glauca",17.28625,41.8428833333333,"M"
"Prionace glauca",17.4439666666667,41.56655,"M"
"Prionace glauca",17.5637333333333,41.2966833333333,"M"
"Prionace glauca",17.5791333333333,41.2732833333333,"M"
"Prionace glauca",17.3993833333333,41.4129,"M"
"Prionace glauca",17.4574666666667,41.4925166666667,"M"
"Prionace glauca",17.4782166666667,41.4184166666667,"M"
"Prionace glauca",15.4376333333333,42.6040166666667,"M"
"Prionace glauca",15.5533333333333,42.6813333333333,"M"
"Prionace glauca",15.7319833333333,42.49835,"M"
"Prionace glauca",15.6225,42.2428,"M"
"Prionace glauca",16.50125,41.9448333333333,"M"
"Prionace glauca",16.6244333333333,42.1049833333333,"M"
"Prionace glauca",16.6370666666667,42.0372333333333,"M"
"Prionace glauca",18.0693333333333,41.1133666666667,"M"
