"species","dd long","dd lat","season","maturity","group"
"Prionace glauca",13.60421667,43.95806667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.69865,43.90791667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.69865,43.90791667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.67288333,45.07013333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.34563333,44.59836667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.34563333,44.59836667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.34563333,44.59836667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.34563333,44.59836667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.34563333,44.59836667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.15613333,45.31456667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.4599,44.72958333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.49391667,44.78555,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.86751667,45.26531667,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.68333333,44.8025,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.68555556,44.81833333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.8938666666667,44.1463833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.94235,44.1478,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.94235,44.1478,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.0132166666667,45.3276,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.0132166666667,45.3276,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.0132166666667,45.3276,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.0132166666667,45.3276,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.73295,45.2336833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.8342333333333,45.2249833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",12.7897666666667,45.2594333333333,"WinSpr","Juvenile","Juvenile_WinSpr"
"Prionace glauca",13.0013433333333,45.3295833333333,"WinSpr","Juvenile","Juvenile_WinSpr"
