"dd.long","dd.lat"
"100",12.92593333,44.13265
"101",12.757,44.2134
"102",13.25878333,44.09258333
"103",13.04765,44.1371
"104",12.99444444,44.20416667
"105",12.89222222,44.16583333
"106",13.08333333,44.23
"107",13.15455,44.08198333
"108",12.77598433,44.21435
"109",12.89416667,45.00083333
"110",12.8525,44.85083333
"111",12.9525,44.81083333
"112",12.76503333,44.57171667
"113",12.43893333,44.77245
"114",12.76,45.25
"115",12.78305556,44.8566667
"116",12.67055556,45.05222222
"117",12.65445,45.10646667
"118",12.95,45.15833333
"119",12.67638889,44.26638889
"120",12.56773333,45.02711667
"121",12.7808,45.24121667
"122",12.64403333,44.97408333
"123",12.65211667,44.88903333
"124",12.59338333,44.96666667
"125",12.7411,44.71366667
"126",12.62676667,45.04558333
"127",12.79416667,45.00083333
"128",12.48138333,44.65086667
"129",12.71575,44.83935
"130",12.63828333,44.94371667
"131",13.66583333,43.74001667
"132",13.3875,45.49111111
"133",12.94588333,45.34196667
"134",13.20031667,45.33263333
"135",13.13431667,45.1876
"136",12.91528333,45.26161667
"137",12.80091667,45.3456
"138",12.92081667,45.45425
"139",13.01368333,45.32713333
"140",12.66233333,44.95043333
"141",12.59138889,45.0825
"142",12.71888333,45.23991667
"143",12.79833333,45.31944444
"144",12.63031667,45.34658333
"145",12.7,44.98305556
"146",12.81944444,45.01583333
"147",12.6819,45.22303333
"148",12.6718,45.17488333
"149",12.50353333,44.82645
"150",12.81472222,44.96972222
"151",12.59833333,44.775
"152",12.51591667,44.74823333
"153",12.74365,44.88498333
"154",12.51431667,44.7696
"155",12.65971667,45.34853333
"156",13.8791,44.03366667
"157",13.60421667,43.95806667
"158",13.69865,43.90791667
"159",13.7345,43.81467
"160",12.34563333,44.59836667
"161",12.70096667,45.0012
"162",13.59135,43.74078333
"163",14.03213333,43.7425
"164",13.7388,43.871615
"165",13.64166667,43.80472222
"166",13.15613333,45.31456667
"167",13.211,45.43606667
"168",12.61666667,45.25
"169",13.565,45.61833333
"170",13.14733333,44.99933333
"171",13.21688333,45.26281667
"172",13.06383333,45.31033333
"173",12.88027778,44.98222222
"174",12.68223333,44.73115667
"175",12.76833333,44.98805556
"176",12.47166667,44.55361111
"177",12.4599,44.72958333
"178",12.30951667,44.74303333
"179",12.86751667,45.26531667
"180",12.8667,45.43141667
"181",12.90546667,45.3029
"182",12.68333333,44.8025
"183",12.54678333,44.73055
"184",13.55355,45.61828333
"185",13.65355,45.62828333
"186",13.1224567,45.44922222
"187",12.8774833333333,44.2066333333333
"188",12.9259666666667,44.12115
"189",12.94235,44.1478
"190",13.2752,44.10015
"191",12.57625,45.1570166666667
"192",12.73295,45.2336833333333
"193",12.548,45.02705
"194",12.8342333333333,45.2249833333333
"195",12.7897666666667,45.2594333333333
"196",13.0710666666667,45.44175
"197",13.0486333333333,45.2748833333333
"198",12.6369,45.1422333333333
"199",12.689,45.0746
"200",12.5429333333333,44.81755
"201",12.5836833333333,44.6718166666667
"202",12.5593,45.05905
"203",11.352,35.666
"204",11.394,35.94
"205",11.4,35.967
"206",12.93,33.9766
"207",15.8741833333333,42.3613833333333
"208",15.77855,42.18835
"209",16.1732333333333,42.1665
"210",16.1052833333333,42.1168166666667
"211",15.9116,42.3364333333333
"212",16.0274166666667,42.15505
"213",18.7320833333333,40.9472666666667
"214",18.60585,41.4571
"215",18.6028833333333,41.4598166666667
"216",18.4674166666667,41.4982166666667
"217",18.7045333333333,40.944
"218",18.6667333333333,41.2081333333333
"219",18.64695,41.2356833333333
"220",17.5184666666667,41.4477833333333
"221",17.60925,41.4401
"222",17.7736833333333,41.40075
"223",17.8355666666667,41.37695
"224",17.90595,41.3568666666667
"225",17.9701166666667,41.3196
"226",17.9954833333333,41.2939333333333
"227",18.1354166666667,41.2750833333333
"228",17.0731666666667,42.3265
"229",16.858,42.264
"230",16.8765,41.975
"231",16.7148333333333,42.0858333333333
"232",16.6846833333333,42.2564
"233",16.79665,42.2460833333333
"234",17.3973833333333,41.2427666666667
"235",17.31275,41.3664
"236",17.0174,41.6448
"237",15.2245333333333,42.7696
"238",15.3029,42.7617333333333
"239",15.3410166666667,42.7593
"240",15.4841166666667,42.7092666666667
"241",15.77045,42.6274
