"species","dd long","dd lat","maturity"
"Prionace glauca",13.28,40.40874,"Adult"
"Prionace glauca",12.949,40.5483,"Adult"
"Prionace glauca",12.676,40.5143,"Adult"
"Prionace glauca",12.678,40.55987,"Adult"
"Prionace glauca",12.575,40.5265,"Adult"
"Prionace glauca",12.454,40.5424,"Adult"
"Prionace glauca",12.348,40.5783,"Adult"
"Prionace glauca",12.162,40.5552,"Adult"
"Prionace glauca",12.75,40.68863,"Adult"
"Prionace glauca",12.548,41.02814,"Adult"
"Prionace glauca",12.541,40.9779,"Adult"
"Prionace glauca",12.447,41.27235,"Adult"
"Prionace glauca",11.916,41.21236,"Adult"
"Prionace glauca",11.676,41.1759,"Adult"
"Prionace glauca",13.487,40.79133,"Adult"
"Prionace glauca",15.458,38.35512,"Adult"
"Prionace glauca",15.44,38.36667,"Adult"
"Prionace glauca",15.939,38.60062,"Adult"
"Prionace glauca",15.694,38.5967,"Adult"
"Prionace glauca",14.945,38.27979,"Adult"
"Prionace glauca",14.913,38.23422,"Adult"
"Prionace glauca",14.575,38.50318,"Adult"
"Prionace glauca",14.14,38.56409,"Adult"
"Prionace glauca",14.217,38.66678,"Adult"
"Prionace glauca",13.948,38.66143,"Adult"
"Prionace glauca",14.888,38.8528,"Adult"
"Prionace glauca",14.592,39.4387,"Adult"
"Prionace glauca",14.628,39.46812,"Adult"
"Prionace glauca",14.434,39.69052,"Adult"
"Prionace glauca",14.447,39.82327,"Adult"
"Prionace glauca",14.29,40.07595,"Adult"
"Prionace glauca",14.757,39.82883,"Adult"
"Prionace glauca",15.069,39.8553,"Adult"
"Prionace glauca",15.217,39.8671,"Adult"
"Prionace glauca",15.072,39.70837,"Adult"
"Prionace glauca",14.825,39.70673,"Adult"
"Prionace glauca",14.114,39.9318,"Adult"
"Prionace glauca",13.819,39.70161,"Adult"
"Prionace glauca",13.92,40.81386,"Adult"
"Prionace glauca",12.757,40.27971,"Adult"
"Prionace glauca",12.921,40.77015,"Adult"
"Prionace glauca",11.505,40.76379,"Adult"
"Prionace glauca",10.033,40.9711,"Adult"
"Prionace glauca",9.867,40.92669,"Adult"
"Prionace glauca",9.936,41.262,"Adult"
"Prionace glauca",11.947,39.30623,"Adult"
"Prionace glauca",11.82,39.57722,"Adult"
"Prionace glauca",-1.991,36.577,"Adult"
"Prionace glauca",-2.307,36.622,"Adult"
"Prionace glauca",-2.443,36.595,"Adult"
"Prionace glauca",-2.813,36.452,"Adult"
"Prionace glauca",-3.686,36.243,"Adult"
"Prionace glauca",-3.507,35.653,"Adult"
"Prionace glauca",-2.009,35.39,"Adult"
"Prionace glauca",-1.936,35.71,"Adult"
"Prionace glauca",-2.21,36.037,"Adult"
"Prionace glauca",-1.577,36.552,"Adult"
"Prionace glauca",-0.948,36.686,"Adult"
"Prionace glauca",-0.603,36.798,"Adult"
"Prionace glauca",1.65,37.423,"Adult"
"Prionace glauca",1.056,37.41816,"Adult"
"Prionace glauca",2.727,37.88414,"Adult"
"Prionace glauca",2.12,38.537,"Adult"
"Prionace glauca",1.132,38.27528,"Adult"
"Prionace glauca",0.942,38.26428,"Adult"
"Prionace glauca",0.784,38.27985,"Adult"
