"species","dd long","dd lat","maturity"
"Prionace glauca",10.442177,43.096349,"Juvenile"
"Prionace glauca",10.52829,43.086386,"Juvenile"
"Prionace glauca",10.375292,43.446926,"Juvenile"
"Prionace glauca",10.512928,43.099878,"Juvenile"
"Prionace glauca",10.380896,43.424359,"Juvenile"
"Prionace glauca",10.270942,43.645852,"Juvenile"
"Prionace glauca",10.272319,43.642154,"Juvenile"
"Prionace glauca",10.165841,43.526103,"Juvenile"
"Prionace glauca",19.056814,41.790402,"Juvenile"
"Prionace glauca",19.078354,42.036451,"Juvenile"
"Prionace glauca",19.09774,41.804051,"Juvenile"
"Prionace glauca",19.09774,41.804051,"Juvenile"
"Prionace glauca",19.09774,41.804051,"Juvenile"
"Prionace glauca",19.09774,41.804051,"Juvenile"
"Prionace glauca",19.09774,41.804051,"Juvenile"
"Prionace glauca",18.776472,42.215599,"Juvenile"
"Prionace glauca",18.776472,42.215599,"Juvenile"
"Prionace glauca",19.09774,41.804051,"Juvenile"
"Prionace glauca",8.54722222222222,41.1625,"Juvenile"
"Prionace glauca",8.54722222222222,41.1625,"Juvenile"
"Prionace glauca",8.58972222222222,41.3002777777778,"Juvenile"
"Prionace glauca",18.6666666666667,41.0833333333333,"Juvenile"
"Prionace glauca",17.05,42.4166666666667,"Juvenile"
"Prionace glauca",16.8333333333333,42.25,"Juvenile"
"Prionace glauca",16.9166666666667,42,"Juvenile"
"Prionace glauca",15.1666666666667,42.7333333333333,"Juvenile"
"Prionace glauca",15.8333333333333,42.5833333333333,"Juvenile"
"Prionace glauca",13.19171667,44.00706667,"Juvenile"
"Prionace glauca",13.19171667,44.00706667,"Juvenile"
"Prionace glauca",12.757,44.2134,"Juvenile"
"Prionace glauca",12.757,44.2134,"Juvenile"
"Prionace glauca",13.19171667,44.00706667,"Juvenile"
"Prionace glauca",13.25878333,44.09258333,"Juvenile"
"Prionace glauca",13.04765,44.1371,"Juvenile"
"Prionace glauca",13.04765,44.1371,"Juvenile"
"Prionace glauca",13.08333333,44.23,"Juvenile"
"Prionace glauca",13.07093333,44.2416,"Juvenile"
"Prionace glauca",13.15455,44.08198333,"Juvenile"
"Prionace glauca",13.15455,44.08198333,"Juvenile"
"Prionace glauca",12.77598433,44.21435,"Juvenile"
"Prionace glauca",12.43893333,44.77245,"Juvenile"
"Prionace glauca",12.44403333,44.77715,"Juvenile"
"Prionace glauca",12.44403333,44.77715,"Juvenile"
"Prionace glauca",12.76,45.25,"Juvenile"
"Prionace glauca",12.76,45.25,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.78305556,44.8566667,"Juvenile"
"Prionace glauca",12.67055556,45.05222222,"Juvenile"
"Prionace glauca",12.67055556,45.05222222,"Juvenile"
"Prionace glauca",12.65445,45.10646667,"Juvenile"
